Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"What Am I Doing Here? Prt 1 - Walsh & McAuley Remix","Chicane","Trance Essentials 2011, Vol. 1 (38 Trance Hits In The Mix)","journey","Playlist","GBRDU1000023","4Pb7Mg18H4S0jCGgH6bIIq"
"I Knew You Were Trouble (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","journey","Playlist","USUG12103664","6AtZLIzUINvExIUy4QhdjP"
"Alpha - Original Mix","W&W","Alpha","journey","Playlist","NLF711001427","1cYVDc1ka9MHCIWd8GBSho"
"Holy Ground (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","journey","Playlist","USUG12103671","661CJWXysgwKXI1dreYNBU"
"WHATS POPPIN","Jack Harlow","Sweet Action","journey","Playlist","USAT22000162","1jaTQ3nqY3oAAYyCTbIvnM"
"Nail Tech","Jack Harlow","Nail Tech","journey","Playlist","USAT22200223","62Yo3FDddWY8ydu6PW2wyz"
"Teenage Dream","Katy Perry","Teenage Dream","journey","Playlist","USCA21001255","235LXPXfi0SmOaS9TaCh3c"
"Levels - Radio Edit","Avicii","Levels","journey","Playlist","SEUM71100962","0JhKJg5ejeQ8jq89UQtnw8"
"Let It Rock","Kevin Rudolf","In The City","journey","Playlist","USCM50800823","6TrNRd98WksT9Kkmx9uj6R"
"Enchanted","Taylor Swift","Speak Now","journey","Playlist","USCJY1003663","04S1pkp1VaIqjg8zZqknR5"
"Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","journey","Playlist","USGF18714809","7o2CTH4ctstm8TNelqjb51"
"Walk This Way","Aerosmith","Toys In The Attic","journey","Playlist","USSM19906481","5SZ6zX4rOrEQferfFC2MfP"
"Always","Bon Jovi","Cross Road (Sound & Vision) [2CD/DVD Sound & Vision]","journey","Playlist","USPR39412221","0Z2CgMqTyPxSMJVcZZ2rGX"
"It's My Life","Bon Jovi","Crush","journey","Playlist","USIR20000145","0v1XpBHnsbkCn7iJ9Ucr1l"
"strawberry moon","IU","strawberry moon","journey","Playlist","KRA382163256","2g0LdZQce9xlcHb1mBJyuz"
"Mr. Rager","Kid Cudi","Man On The Moon II: The Legend Of Mr. Rager","journey","Playlist","USUM71025042","393MDhe62s8hbH8ETrlxe5"
"Feel This Moment (feat. Christina Aguilera)","Pitbull","Global Warming: Meltdown","journey","Playlist","USRC11201328","1ml6e0VxMUyPgsVFxQA0Xw"
"International Love (feat. Chris Brown)","Pitbull","Planet Pit (Deluxe Version)","journey","Playlist","USJAY1100015","62zFEHfAYl5kdHYOivj4BC"
"Hey Ya!","Outkast","Speakerboxxx/The Love Below","journey","Playlist","USAR10300924","2PpruBYCo4H7WOBJ7Q2EwM"
"KOE WO KIKASETE - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL","BIGBANG","BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL","journey","Playlist","JPB601801843","3IBZcTeLOvt18WzVOjLj5G"
"BAD BOY","BIGBANG","ALIVE","journey","Playlist","JPB601211904","79JjevZxTK4DKntcVbfrOv"
"Blue","BIGBANG","ALIVE","journey","Playlist","KRA341200725","4LOLvDtzykDC7y9WehFoOi"
"Electric Feel","MGMT","Oracular Spectacular","journey","Playlist","USSM10702131","3FtYbEfBqAlGO46NUDQSAt"
"Power Trip (feat. Miguel)","J. Cole","Born Sinner (Deluxe Version)","journey","Playlist","USQX91300310","2uwnP6tZVVmTovzX5ELooy"
"Apparently","J. Cole","2014 Forest Hills Drive","journey","Playlist","USQX91402600","1HNs07uZxZniPNmniw2GTa"
"MIDDLE CHILD","J. Cole","MIDDLE CHILD","journey","Playlist","QMJMT1902056","2JvzF1RMd7lE3KmFlsyZD8"
"Wet Dreamz","J. Cole","2014 Forest Hills Drive","journey","Playlist","USQX91402592","6Ius4TC0L3cN74HT7ENE6e"
"Work Out","J. Cole","Cole World: The Sideline Story","journey","Playlist","USQX91100801","2wAJTrFhCnQyNSD3oUgTZO"
"Crooked Smile (feat. TLC)","J. Cole","Born Sinner (Deluxe Version)","journey","Playlist","USQX91301190","5gFoAVTN9YlM9uJCrFZtgl"
